Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
CLRX,CollabRx Inc.,NCM,-1.8410,None,0.3000,0.4340,None,6.63M,1193210,3.3600,0.5100,0.9799
CAPN,Capnia Inc.,NCM,-10.93,None,0.00,-1.53,None,45.22M,750718,9.90,1.02,6.68
NDRM,NeuroDerm Ltd.,NGM,-12.97,None,1.40,2.32,None,236.75M,245837,19.07,5.67,13.93
CYBR,CyberArk Software Ltd.,NMS,0.34,175.49,0.50,5.08,None,1.74B,2133060,70.48,22.12,58.79
WPCS,WPCS International Incorporated,NCM,-0.78,None,2.40,-0.52,None,4.03M,414782,1.73,0.17,0.23
AXN,Aoxing Pharmaceutical Company,ASE,-0.0670,None,0.2000,0.0590,None,121.67M,717595,2.5800,0.1800,1.7901
NPSP,NPS Pharmaceuticals Inc.,NMS,0.01,None,0.00,0.00,None,None,5286980,46.01,22.11,45.97
ATOS,Atossa Genetics Inc.,NCM,-0.61,None,0.40,0.39,None,41.40M,1130170,2.65,0.80,1.63
ASTI,Ascent Solar Technologies Inc.,NCM,-4.85,None,0.60,0.42,None,23.91M,1180790,5.90,0.55,0.95
WLL,Whiting Petroleum Corporation C,NYQ,0.53,66.53,1.50,34.12,None,5.89B,10408500,92.92,24.13,35.26
EGRX,Eagle Pharmaceuticals Inc.,NGM,-1.63,None,0.50,1.99,None,692.12M,326732,52.50,9.16,49.31
GDP,Goodrich Petroleum Corporation,NYQ,-8.62,None,3.90,-0.40,None,176.83M,3803110,30.52,2.35,3.92
HOTR,Chanticleer Holdings Inc.,NCM,-0.91,None,0.10,2.13,None,21.79M,266129,3.20,1.40,3.01
FEYE,FireEye Inc.,NMS,-3.12,None,1.90,8.18,None,6.73B,6742050,51.87,24.81,43.24
NVTA,Invitae Corporation Common Stoc,NYQ,-56.13,None,1.20,-88.48,None,518.67M,355518,22.35,15.83,16.84
MDAS,MedAssets Inc.,NMS,-0.34,None,3.10,7.42,None,1.24B,640500,25.57,17.00,20.52
ANGI,Angie's List Inc.,NMS,-0.21,None,3.40,-0.38,None,327.10M,1510740,14.65,4.36,5.59
OAS,Oasis Petroleum Inc. Common Sto,NYQ,5.05,3.35,2.20,18.48,None,1.73B,10342700,58.09,10.64,16.91
SFY,Swift Energy Company (Holding C,NYQ,-6.47,None,5.90,18.09,None,114.86M,2815490,13.12,1.97,2.61
