"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIRM","Air Methods Corporation","46.32","1818706256.64","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","24.33","57662756.91","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","9.21","598178687.46","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"ALK","Alaska Air Group, Inc.","63.07","8253937031.41","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"ALGT","Allegiant Travel Company","161.9","2818927354.6","n/a","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"AAL","American Airlines Group, Inc.","49.175","34257756373.75","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"ARCB","ArcBest Corporation","37.07","963303948.53","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/arcb",
"ASC","Ardmore Shipping Corporation","10.15","263703090","n/a","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/asc",
"AAWW","Atlas Air Worldwide Holdings","42.96","1065739565.28","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"AVH","Avianca Holdings S.A.","11.19","0","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/avh",
"BALT","Baltic Trading Limited","1.51","88503685.12","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/balt",
"TEU","Box Ships Inc.","0.8498","26454881.607","n/a","2011","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/teu",
"BCO","Brink&#39;s Company (The)","27.79","1351393379.35","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","55.13","1916092270.83","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"CHRW","C.H. Robinson Worldwide, Inc.","71.335","10547298058.44","n/a","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"CNI","Canadian National Railway Company","66.6","53748941122.8","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","184.49","30323434475.83","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cp",
"CPLP","Capital Product Partners L.P.","9.73","1012698010.8","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CGI","Celadon Group, Inc.","26.76","636028950.48","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
"HELI","CHC Group Ltd.","1.33","107528578.15","n/a","2014","Transportation","Transportation Services","http://www.nasdaq.com/symbol/heli",
"CEA","China Eastern Airlines Corporation Ltd.","34.29","8692013577.33","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"ZNH","China Southern Airlines Company Limited","40.46","7944375216.4","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","11.1","1123183103.7","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/vlrs",
"CNW","Con-way Inc.","41.62","2401276221.76","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cnw",
"CPA","Copa Holdings, S.A.","97.53","4326343218.06","n/a","2005","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cpa",
"CMRE","Costamare Inc.","17.51","1309748000","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
"CVTI","Covenant Transportation Group, Inc.","32.63","591937632.26","n/a","1994","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cvti",
"CSX","CSX Corporation","33.32","33039811087.08","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/csx",
"DAC","Danaos Corporation","6.4","701884345.6","n/a","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DAL","Delta Air Lines, Inc.","42.25","34825477761.75","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal",
"DHT","DHT Holdings, Inc.","7.17","665738665.77","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DCIX","Diana Containerships Inc.","2.5","182897477.5","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DSX","Diana Shipping inc.","6.08","497707711.68","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
"LPG","Dorian LPG Ltd.","13.48","778921499.12","n/a","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/lpg",
"DRYS","DryShips Inc.","0.7501","502540237.1821","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/drys",
"EGLE","Eagle Bulk Shipping Inc.","8.72","331753106.32","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/egle",
"ECHO","Echo Global Logistics, Inc.","26.01","619710852.69","n/a","2009","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/echo",
"ERA","Era Group, Inc.","21.03","429102492.09","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/era",
"EURN","Euronav NV","12.82","1673137546.18","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/eurn",
"ESEA","Euroseas Ltd.","0.71","40550317.33","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"EXPD","Expeditors International of Washington, Inc.","47.04","9020015350.08","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd",
"FDX","FedEx Corporation","166.22","47166029698.12","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/fdx",
"FWRD","Forward Air Corporation","52.39","1621685875.29","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/fwrd",
"FREE","FreeSeas Inc.","0.042","5873474.376","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/free",
"FRO","Frontline Ltd.","2.38","267376313.82","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/fro",
"FRPH","FRP Holdings, Inc.","36.45","354241876.5","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/frph",
"GWR","Genesee & Wyoming, Inc.","97.34","5166204373.38","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gwr",
"GWRU","Genesee & Wyoming, Inc.","121.95","0","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gwru",
"GSL","Global Ship Lease, Inc.","5.31","291770906.4","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gsl",
"GLBS","Globus Maritime Limited","1.3","13306044.7","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/glbs",
"GOL","Gol Linhas Aereas Inteligentes S.A.","2.4","12418307380.8","n/a","2004","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/gol",
"OMAB","Grupo Aeroportuario del Centro Norte S.A.B. de C.V.","40.08","278231151.6","6941895","2006","Transportation","Aerospace","http://www.nasdaq.com/symbol/omab",
"PAC","Grupo Aeroportuario Del Pacifico, S.A. de C.V.","66.99","3758139000","n/a","2006","Transportation","Aerospace","http://www.nasdaq.com/symbol/pac",
"ASR","Grupo Aeroportuario del Sureste, S.A. de C.V.","141.11","4233300000","n/a","n/a","Transportation","Aerospace","http://www.nasdaq.com/symbol/asr",
"GSH","Guangshen Railway Company Limited","24.32","3445432396.8","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gsh",
"HA","Hawaiian Holdings, Inc.","21.47","1169585807.44","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ha",
"HTLD","Heartland Express, Inc.","23","2023212089","n/a","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/htld",
"HUBG","Hub Group, Inc.","37.02","1335128928.42","n/a","1996","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/hubg",
"ISH","International Shipholding Corporation","12.77","93345596.89","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/ish",
"JBHT","J.B. Hunt Transport Services, Inc.","84.17","9807103153.91","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/jbht",
"JBLU","JetBlue Airways Corporation","18.91","5878288680.81","n/a","2002","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/jblu",
"KSU","Kansas City Southern","105","11593164975","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu",
"KSU^","Kansas City Southern","26.94","0","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu^",
"KNX","Knight Transportation, Inc.","31.2","2557986381.6","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/knx",
"LSTR","Landstar System, Inc.","63.88","2861471765.68","n/a","1993","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/lstr",
"LFL","LATAM Airlines Group S.A.","8.63","4708077677.97","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/lfl",
