Ticker,neg,neu,pos,compound,Title,url
ACXM,0.09,0.799,0.111,0.3612,Marketing services chief departs Acxiom after a month - Acxiom Corporation (NASDAQ:ACXM),http://seekingalpha.com/news/2727666-marketing-services-chief-departs-acxiom-after-a-month?source=feed_symbol_acxm
ACXM,0.05,0.873,0.077,0.25,Acxiom narrows loss affirms low-side guidance - Acxiom Corporation (NASDAQ:ACXM),http://seekingalpha.com/news/2700615-acxiom-narrows-loss-affirms-low-side-guidance?source=feed_symbol_acxm
ACXM,0.03,0.957,0.013,-0.34,Acxiom off 10.7% in late trade after Q4 earnings - Acxiom Corporation (NASDAQ:ACXM),http://seekingalpha.com/news/2540226-acxiom-off-10_7-percent-in-late-trade-after-q4-earnings?source=feed_symbol_acxm
ACXM,0.0,0.961,0.039,0.6249,Acxiom revenues beat though down from prior year - Acxiom Corporation (NASDAQ:ACXM),http://seekingalpha.com/news/2274176-acxiom-revenues-beat-though-down-from-prior-year?source=feed_symbol_acxm
ACXM,0.068,0.866,0.066,0.7514,The Fundamentals Versus Technicals For Acxiom - Acxiom Corporation (NASDAQ:ACXM),http://seekingalpha.com/article/2674435-the-fundamentals-versus-technicals-for-acxiom?source=feed_symbol_acxm
ACXM,0.044,0.815,0.141,0.9783,Acxiom (ACXM) Stock Chart Shows 30% Upside,http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=12iug820r/*http://www.thestreet.com/story/13282697/1/acxiom-acxm-chart-shows-30-upside.html?puc=yahoo&amp;cm_ven=YAHOO
ACXM,0.0,0.929,0.071,0.7906,ACXM quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:ACXM&amp;amp;client=news-rss&amp;amp;ei=U6ouVtGRKZDKjAHsq6P4DQ
ACXM,0.0,0.929,0.071,0.7906,ACXM quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:ACXM&amp;amp;client=news-rss&amp;amp;ei=U6ouVtGRKZDKjAHsq6P4DQ
ACXM,0.024,0.843,0.133,0.992,Company Shares of Acxiom Corporation (NASDAQ:ACXM) Rally 1.2%,http://www.americantradejournal.com/company-shares-of-acxiom-corporation-nasdaqacxm-rally-1-2/6133025/
ACXM,0.013,0.873,0.115,0.9839,Brokerage Views on Acxiom Corporation (NASDAQ:ACXM),http://www.themarketsdaily.com/analyst-views/brokerage-views-on-acxiom-corporation-nasdaqacxm-2/74411/
ACXM,0.033,0.857,0.11,0.9876,Shares of Acxiom Corporation (NASDAQ:ACXM) Sees Large Outflow of Money,http://newswatchinternational.com/news/shares-of-acxiom-corporation-nasdaqacxm-sees-large-outflow-of-money.html
ACXM,0.024,0.843,0.133,0.9932,Company Shares of Acxiom Corporation (NASDAQ:ACXM) Rally 1.32%,http://www.americantradejournal.com/company-shares-of-acxiom-corporation-nasdaqacxm-rally-1-32/697796/
CRAY,0.0,0.936,0.064,0.5106,Cray supercomputer to model Swiss weather - Cray Inc (NASDAQ:CRAY),http://seekingalpha.com/news/2798156-cray-supercomputer-to-model-swiss-weather?source=feed_symbol_cray
CRAY,0.1,0.856,0.043,-0.6697,Cray now down 5.8% following earnings/guidance - Cray Inc (NASDAQ:CRAY),http://seekingalpha.com/news/2682045-cray-now-down-5_8-percent-following-earnings-guidance?source=feed_symbol_cray
CRAY,0.033,0.816,0.151,0.9552,Cray up 8.9% after Q2 beat; full-year spending/margin guidance cut - Cray Inc (NASDAQ:CRAY),http://seekingalpha.com/news/2679425-cray-up-8_9-percent-after-q2-beat-full-year-spending-margin-guidance-cut?source=feed_symbol_cray
CRAY,0.0,0.904,0.096,0.9201,Stifel: Cray gaining high-end supercomputer share against IBM - Cray Inc (NASDAQ:CRAY),http://seekingalpha.com/news/2626645-stifel-cray-gaining-high-end-supercomputer-share-against-ibm?source=feed_symbol_cray
CRAY,0.075,0.887,0.038,-0.4124,Cray up 10.9% after Q1 EPS beat strong Q2 guidance - Cray Inc (NASDAQ:CRAY),http://seekingalpha.com/news/2494246-cray-up-10_9-percent-after-q1-eps-beat-strong-q2-guidance?source=feed_symbol_cray
CRAY,0.026,0.774,0.2,0.899,Cray: Lumpy Revenues Obscure A Strong Buy - Cray Inc (NASDAQ:CRAY),http://seekingalpha.com/article/3067616-cray-lumpy-revenues-obscure-a-strong-buy?source=feed_symbol_cray
CRAY,0.039,0.926,0.035,-0.1779,Major tech gainers/decliners: CCIH WUBA NMBL FARO CRAY ANGI - ChinaCache International (NASDAQ:CCIH),http://seekingalpha.com/news/2402736-major-tech-gainers-decliners-ccih-wuba-nmbl-faro-cray-angi?source=feed_symbol_cray
CRAY,0.0,0.961,0.039,0.4767,Cray strikes 5-petaflop supercomputer/storage deal - Cray Inc (NASDAQ:CRAY),http://seekingalpha.com/news/2389106-cray-strikes-5-petaflop-supercomputer-storage-deal?source=feed_symbol_cray
CRAY,0.016,0.95,0.034,0.2732,Notable tech gainers/decliners: AMBA ANET CRAY XONE FUEL - Ambarella (NASDAQ:AMBA),http://seekingalpha.com/news/2317586-notable-tech-gainers-decliners-amba-anet-cray-xone-fuel?source=feed_symbol_cray
CRAY,0.028,0.861,0.111,0.8907,Cray ticks lower after beating estimates guiding in-line - Cray Inc (NASDAQ:CRAY),http://seekingalpha.com/news/2295366-cray-ticks-lower-after-beating-estimates-guiding-in-line?source=feed_symbol_cray
CRAY,0.0,0.875,0.125,0.891,CRAY quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:CRAY&amp;amp;client=news-rss&amp;amp;ei=U6ouVvGeL8bDjAGmzpu4DQ
CRAY,0.0,0.875,0.125,0.891,CRAY quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:CRAY&amp;amp;client=news-rss&amp;amp;ei=U6ouVvGeL8bDjAGmzpu4DQ
CRAY,0.022,0.838,0.14,0.983,Analysts See Decline of Cray Inc. (CRAY) Earnings Per Share,http://www.octafinance.com/analysts-see-decline-of-cray-inc-cray-earnings-per-share/
CRAY,0.015,0.876,0.11,0.9868,CRAY) Price Target Update,http://www.moneyflowindex.org/cray-inc-nasdaqcray-price-target-update/3136621/
CRAY,0.061,0.81,0.129,0.9872,Why Cray Inc (CRAY) is Enjoying Double-Digit Gains,http://www.thestreet.com/story/12215068/1/why-cray-inc-cray-is-enjoying-double-digit-gains.html
CRAY,0.005,0.923,0.072,0.9652,Cray Inc (NASDAQ:CRAY) Given $37 Consensus Target,http://www.themarketsdaily.com/analyst-actions/cray-inc-nasdaqcray-given-37-consensus-target/72810/
SGI,0.0,0.87,0.13,0.8779,SGI issues strong revenue guidance in-line EPS guidance. - Silicon Graphics Inc. (NASDAQ:SGI),http://seekingalpha.com/news/2824126-sgi-issues-strong-revenue-guidance-in-line-eps-guidance?source=feed_symbol_sgi
SGI,0.029,0.915,0.056,0.5994,Notable tech gainers/decliners: CYBR JD XOOM VEEV QIWI SGI - Silver Spring Networks (NYSE:SSNI),http://seekingalpha.com/news/2307026-notable-tech-gainers-decliners-cybr-jd-xoom-veev-qiwi-sgi?source=feed_symbol_sgi
SGI,0.024,0.938,0.038,0.2732,SGI -11.2%; FQ3 guidance light financing deal announced - Silicon Graphics Inc. (NASDAQ:SGI),http://seekingalpha.com/news/2256666-sgi-minus-11_2-percent-fq3-guidance-light-financing-deal-announced?source=feed_symbol_sgi
SGI,0.0,0.841,0.159,0.8834,SGI rallies after announcing CUNY deal - Silicon Graphics Inc. (NASDAQ:SGI),http://seekingalpha.com/news/2222626-sgi-rallies-after-announcing-cuny-deal?source=feed_symbol_sgi
SGI,0.046,0.892,0.062,0.0772,SGI +6.2%: Needham upgrades calls company a top 2015 pick - Silicon Graphics Inc. (NASDAQ:SGI),http://seekingalpha.com/news/2170625-sgi-plus-6_2-percent-needham-upgrades-calls-company-a-top-2015-pick?source=feed_symbol_sgi
SGI,0.0,0.918,0.082,0.5267,SGI extends buyback program by a year - Silicon Graphics Inc. (NASDAQ:SGI),http://seekingalpha.com/news/2135415-sgi-extends-buyback-program-by-a-year?source=feed_symbol_sgi
SGI,0.0,0.966,0.034,0.4404,SGI -9.9%; FQ1 sales miss overshadows guidance - Silicon Graphics Inc. (NASDAQ:SGI),http://seekingalpha.com/news/2077695-sgi-minus-9_9-percent-fq1-sales-miss-overshadows-guidance?source=feed_symbol_sgi
SGI,0.0,0.868,0.132,0.9983,SGI Introduces Breakthrough Intel-Based System to Enable Real-Time Business With Oracle Database In-Memory,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/sgi-introduces-breakthrough-intel-based-130000114.html
SGI,0.008,0.892,0.1,0.9954,SGI Exceeds 200 Terabyte Milestone in Total Systems Running SAP HANA(R),http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/sgi-exceeds-200-terabyte-milestone-065900791.html
SGI,0.049,0.867,0.084,0.9791,SGI Updates Guidance for First Quarter Fiscal 2016 Financial Results and Announces First Quarter 2016 Conference Call Information,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/sgi-updates-guidance-first-quarter-200500717.html
SGI,0.0,0.935,0.065,0.8934,SGI to Host Annual Investor Day November 18 2015,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/sgi-host-annual-investor-day-130000510.html
SGI,0.088,0.808,0.104,-0.0735,University of Copenhagen Uses SGI Supercomputer to Decode How Mutations Rewire Cancer Cells,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/university-copenhagen-uses-sgi-supercomputer-170000763.html
SGI,0.004,0.909,0.088,0.9948,SGI and IT4Innovations Announce a TOP500 Supercomputer in Europe -- Salomon,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/sgi-it4innovations-announce-top500-supercomputer-070100191.html
SGI,0.0,0.899,0.101,0.9628,Quotes for SGI,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/q/ud?s=SGI
SGI,0.006,0.88,0.114,0.9945,Gartner Positions SGI in 2015 Magic Quadrant for Integrated Systems,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/gartner-positions-sgi-2015-magic-200000494.html
