Date,Open,High,Low,Close,Volume,Adj Close
2015-07-02,14.03,14.36,13.84,14.33,1652900,14.33
2015-07-01,14.34,14.42,13.63,14.11,1803700,14.11
2015-06-30,13.88,14.35,13.81,14.25,1882800,14.25
2015-06-29,13.77,13.99,13.65,13.86,1433700,13.86
2015-06-26,14.00,14.10,13.58,14.08,6217800,14.08
2015-06-25,13.99,14.13,13.71,13.95,1361300,13.95
2015-06-24,14.05,14.13,13.93,14.00,891300,14.00
2015-06-23,13.98,14.17,13.97,14.02,1378700,14.02
2015-06-22,14.18,14.23,13.89,13.99,993000,13.99
2015-06-19,14.34,14.36,13.90,13.99,2482700,13.99
2015-06-18,14.45,14.49,14.14,14.35,1651100,14.35
2015-06-17,14.52,14.64,14.44,14.46,1339300,14.46
2015-06-16,14.29,14.58,14.11,14.56,1463700,14.56
2015-06-15,14.48,14.50,14.18,14.34,1432200,14.34
2015-06-12,14.46,14.56,14.39,14.55,941100,14.55
2015-06-11,14.86,14.93,14.40,14.48,1499200,14.48
2015-06-10,14.88,15.05,14.70,14.93,1491900,14.93
2015-06-09,14.86,14.90,14.70,14.87,835000,14.87
2015-06-08,14.99,15.19,14.76,14.84,1157500,14.84
2015-06-05,14.78,15.09,14.71,15.02,1283100,15.02
2015-06-04,14.98,15.01,14.72,14.74,1001000,14.74
2015-06-03,14.80,15.09,14.74,15.05,1074100,15.05
2015-06-02,14.71,14.96,14.63,14.67,1145400,14.67
2015-06-01,14.87,15.07,14.75,14.87,1804400,14.87
2015-05-29,14.91,15.03,14.74,14.74,1848500,14.74
2015-05-28,15.20,15.45,14.89,14.95,1737200,14.95
2015-05-27,15.00,15.30,14.92,15.27,1036500,15.27
2015-05-26,15.13,15.25,14.88,14.99,1297800,14.99
2015-05-22,15.15,15.30,15.13,15.25,1048300,15.25
2015-05-21,15.10,15.47,15.10,15.21,2110700,15.21
2015-05-20,15.02,15.12,14.90,15.09,3048500,15.09
2015-05-19,14.56,15.11,14.40,14.99,3316400,14.99
2015-05-18,15.15,15.15,14.46,14.60,4738000,14.60
2015-05-15,13.81,15.27,13.80,15.07,8799000,15.07
2015-05-14,15.79,15.81,14.91,14.99,6450700,14.99
2015-05-13,15.42,15.87,15.42,15.67,5332100,15.67
2015-05-12,15.64,15.66,15.27,15.38,2921200,15.38
2015-05-11,15.76,15.90,15.48,15.60,2480700,15.60
2015-05-08,15.85,15.85,15.51,15.73,1223400,15.73
2015-05-07,15.40,15.80,15.28,15.61,1941500,15.61
2015-05-06,15.50,15.65,15.36,15.52,1354900,15.52
2015-05-05,15.75,15.80,15.31,15.50,992500,15.50
2015-05-04,15.96,16.049999,15.55,15.69,1218200,15.69
2015-05-01,15.90,16.01,15.68,15.90,1240700,15.90
2015-04-30,16.51,16.610001,15.82,15.86,2322900,15.86
2015-04-29,16.700001,16.780001,16.33,16.48,1330200,16.48
2015-04-28,16.559999,16.77,16.26,16.74,553400,16.74
2015-04-27,16.799999,16.860001,16.59,16.68,553200,16.68
2015-04-24,17.00,17.09,16.719999,16.76,692000,16.76
2015-04-23,17.190001,17.25,16.67,17.01,1795400,17.01
2015-04-22,17.32,17.43,17.059999,17.190001,1393000,17.190001
2015-04-21,17.35,17.549999,17.08,17.32,1822300,17.32
2015-04-20,17.209999,17.48,16.969999,17.32,934300,17.32
2015-04-17,17.23,17.25,16.780001,17.209999,1165900,17.209999
2015-04-16,17.309999,17.450001,17.10,17.379999,1885900,17.379999
2015-04-15,17.040001,17.33,16.93,17.33,1588900,17.33
2015-04-14,17.02,17.139999,16.940001,17.059999,1103400,17.059999
2015-04-13,16.98,17.15,16.76,16.90,1210400,16.90
2015-04-10,16.719999,16.91,16.65,16.90,1158400,16.90
2015-04-09,16.67,16.809999,16.549999,16.74,2083000,16.74
2015-04-08,16.35,16.73,16.35,16.719999,1137400,16.719999
2015-04-07,16.209999,16.459999,16.200001,16.440001,1096100,16.440001
2015-04-06,16.200001,16.549999,16.02,16.209999,1453800,16.209999
2015-04-02,16.299999,16.459999,16.17,16.389999,1707800,16.389999
2015-04-01,16.049999,16.35,15.92,16.32,1739700,16.32
2015-03-31,15.83,16.25,15.69,16.040001,2579300,16.040001
2015-03-30,15.66,16.040001,15.60,15.85,896000,15.85
2015-03-27,15.28,15.70,15.27,15.53,1331600,15.53
2015-03-26,14.80,15.34,14.70,15.26,2573700,15.26
2015-03-25,14.88,15.05,14.82,14.89,1374400,14.89
2015-03-24,14.96,15.10,14.87,15.01,630400,15.01
2015-03-23,15.01,15.20,14.89,15.00,1601200,15.00
2015-03-20,14.83,15.14,14.60,15.10,1907500,15.10
2015-03-19,14.70,14.84,14.54,14.68,1360400,14.68
2015-03-18,14.81,14.95,14.65,14.69,1700600,14.69
2015-03-17,15.12,15.13,14.83,14.84,1398500,14.84
2015-03-16,15.80,15.88,14.94,15.04,2727700,15.04
2015-03-13,14.61,14.91,14.55,14.90,1578200,14.90
2015-03-12,14.84,14.84,14.59,14.71,725500,14.71
2015-03-11,14.70,14.83,14.53,14.71,1632800,14.71
2015-03-10,14.75,14.82,14.31,14.68,1207700,14.68
2015-03-09,14.45,14.90,14.30,14.71,1455200,14.71
2015-03-06,14.92,14.99,14.24,14.46,5421800,14.46
2015-03-05,14.84,14.96,14.53,14.85,1649400,14.85
2015-03-04,14.80,14.93,14.61,14.87,1624400,14.87
2015-03-03,15.19,15.19,14.70,14.80,1577800,14.80
2015-03-02,14.85,15.32,14.75,15.02,2720100,15.02
2015-02-27,15.93,16.35,15.77,15.79,2890100,14.85
2015-02-26,16.23,16.25,15.88,15.95,2282300,15.000475
2015-02-25,16.190001,16.290001,16.00,16.200001,2801300,15.235593
2015-02-24,15.91,16.25,15.83,16.17,1352300,15.207378
2015-02-23,16.120001,16.209999,15.90,15.99,1438000,15.038094
2015-02-20,15.96,16.370001,15.75,16.09,2545900,15.132141
2015-02-19,16.200001,16.26,15.91,15.91,1833800,14.962856
2015-02-18,16.00,16.200001,15.73,16.15,2401300,15.188569
2015-02-17,16.65,16.90,15.82,15.90,4271500,14.953451
2015-02-13,17.870001,18.00,16.35,16.700001,15163100,15.705827
2015-02-12,14.24,15.01,14.10,14.74,7085200,13.862508
2015-02-11,13.85,14.58,13.60,14.14,4230100,13.298227
2015-02-10,13.82,14.10,13.50,13.82,3844200,12.997277
2015-02-09,13.55,13.55,13.29,13.54,1162100,12.733946
