symbol,EPS,volume,averageDailyV,float,lastClose,open,lastTrade,lastTradeDate,50DayMA
"ALG",3.80,41559,45640,9451000,74.24,74.24,73.61,"11/18/2016",66.48
"CVE.TO",-1.54,757843,1640660,831948000,19.52,19.52,19.63,"11/18/2016",19.67
"IQNT",1.06,367478,451583,31229000,22.93,22.96,23.00,"11/18/2016",18.52
"WLKP",1.52,22529,41745,23629000,20.95,21.00,21.35,"11/18/2016",21.80
"ALEX",-0.47,178655,144832,46032000,43.61,43.37,43.50,"11/18/2016",39.43
"FSLR",4.89,7522578,3510820,71250000,31.16,30.54,29.21,"11/18/2016",37.44
"WNR",1.53,8218855,3341060,83373000,37.55,36.99,36.52,"11/18/2016",28.33
"MGA.TO",-0.016,92250,391206,278382000,0.135,0.130,0.125,"11/18/2016",0.132
"MNST",1.11,2767283,2909010,142331000,41.97,41.74,41.68,"11/18/2016",46.97
"CATM",1.70,237914,386453,41428000,51.56,51.75,51.15,"11/18/2016",49.17
"GK",3.31,139841,221127,16789000,95.85,95.99,95.90,"11/18/2016",95.07
"GLD.V",-0.02,4,18614,5949000,0.16,0.16,0.16,"11/16/2016",0.18
"CGIX",-1.62,175094,128428,12379000,1.65,1.70,1.75,"11/18/2016",1.55
"EXLS",1.77,302176,192186,29837000,46.09,46.16,46.63,"11/18/2016",46.82
"DLR",1.45,1654562,1745440,158820000,87.54,87.95,88.94,"11/18/2016",92.76
"CTRX",1.64,0,2797060,N/A,N/A,N/A,N/A,"7/23/2015",60.99
"XNPT",-1.21,0,1638070,N/A,N/A,N/A,N/A,N/A,6.71
"AMGN",9.99,3764649,3625480,742873000,147.36,147.05,145.23,"11/18/2016",154.80
"ATRO",1.74,73100,115436,23474000,35.06,35.12,35.32,"11/18/2016",36.15
"FUL",2.15,321721,218092,49859000,48.42,48.40,48.24,"11/18/2016",44.69
"NPO",-1.41,98547,118427,18174000,59.19,59.34,59.68,"11/18/2016",56.13
"NYCB",-0.06,4103425,3940470,472668000,15.72,15.70,15.87,"11/18/2016",14.32
"UBNT",2.74,312647,437120,24697000,56.03,56.03,56.09,"11/18/2016",52.59
"SQNM",-0.35,0,2120040,N/A,N/A,N/A,N/A,N/A,2.16
"CRS",-0.08,387399,383411,45786000,35.99,36.13,36.00,"11/18/2016",37.11
"RNN",-0.065,2000593,1111400,193741000,0.190,0.199,0.192,"11/18/2016",0.179
"GABC",2.28,41240,29947,14000000,48.44,48.57,49.91,"11/18/2016",40.46
"IRG.TO",0.21,15600,83957,50807000,3.20,3.17,3.18,"11/18/2016",3.18
"FFBC",1.37,439328,204254,60657000,25.45,25.55,25.70,"11/18/2016",22.13
"PBF",-0.03,2030759,2688130,81144000,26.71,26.69,26.12,"11/18/2016",22.40
"SMRT",0.48,667866,153033,31133000,5.12,5.23,5.14,"11/18/2016",6.14
"BAMM",0.04,0,13228,N/A,N/A,N/A,N/A,"12/9/2015",3.21
"USNA",8.06,40913,79628,4718000,125.05,124.95,125.40,"11/18/2016",135.62
"HLS",2.40,787767,1200010,79990000,40.86,40.96,40.97,"11/18/2016",40.16
"ENLC",-3.66,767824,536095,61701000,17.45,17.50,17.85,"11/18/2016",16.15
"WPG",-0.44,1949575,1945740,184775000,10.30,10.32,10.16,"11/18/2016",11.04
"SSB",4.24,74695,84642,23197000,83.70,83.80,85.20,"11/18/2016",75.34
"STX",1.26,2394385,4680660,291333000,39.23,39.20,39.29,"11/18/2016",35.88
"CP",7.48,557264,729135,146022000,146.22,145.69,145.60,"11/18/2016",147.43
"BXE.TO",-2.31,524088,1103970,202556000,1.04,1.05,1.04,"11/18/2016",1.14
"DSPG",0.15,69848,80149,18127000,12.15,12.15,12.40,"11/18/2016",11.02
"JPM",5.80,19769965,16649500,3559794000,78.02,77.96,77.71,"11/18/2016",70.08
"TX",1.79,394490,368785,48910000,21.89,21.88,21.71,"11/18/2016",22.16
"TYL",1.73,266672,215946,33401000,155.02,155.00,155.53,"11/18/2016",162.67
"NEP",1.17,370786,494966,38899000,25.24,25.34,25.25,"11/18/2016",26.92
"TRNX",-0.57,0,133544,N/A,N/A,N/A,N/A,"10/1/2015",23.11
"ESNT",2.23,905689,590723,78239000,28.25,28.28,28.70,"11/18/2016",27.52
"EH.TO",2.25,33474,26328,N/A,N/A,N/A,N/A,"9/16/2015",16.58
"WY",0.77,6732326,3583750,739403000,30.05,30.05,31.13,"11/18/2016",30.46
"HBK.V",-0.014,73000,130913,114160000,0.045,0.045,0.045,"11/18/2016",0.056
"AFOP",0.52,658059,492814,N/A,18.51,18.51,18.51,"6/6/2016",18.52
"LPNT",2.96,289996,538612,36745000,57.30,57.45,57.25,"11/18/2016",58.70
"AAV.TO",0.03,425267,609244,182292000,9.08,9.15,9.15,"11/18/2016",9.38
"LIQ.TO",-3.62,107280,96844,26792000,10.65,10.56,10.67,"11/18/2016",10.55
"AHPI",-0.29,40575,78973,4453000,1.13,1.15,1.17,"11/18/2016",1.06
"VLE.TO",-0.03,18530,67809,47726000,0.89,0.90,0.90,"11/18/2016",0.93
"HMN",2.04,256958,176605,40094000,39.00,39.05,39.05,"11/18/2016",36.68
"WMT",4.64,11135265,9016640,1454728000,69.19,68.93,68.54,"11/18/2016",69.70
"XENT",-0.92,396292,329018,21444000,11.80,11.85,11.95,"11/18/2016",14.59
"RNST",2.13,246906,160056,40544000,38.95,39.10,39.72,"11/18/2016",34.36
"CCE",1.30,2205340,2021090,N/A,34.07,34.04,33.73,"11/18/2016",37.80
