Ticker&Date,EPS,AvgV%,VF%,priceChange,50MA%,float,Title, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
ABR.V20170808,-0.042,0.213839678416,0.00647929337931,0.0454545454545,-0.12213740458,25813000.0,0.0,0.0557,0.1701,0.115000002086,0.1144,0.0107720302722,-0.0039,-0.0016,-0.0055,-0.0339130428631,40.0809,0.1445,0.1423,0.122,54.8146,12.5,18.75,1502222337.0
ACNB20170808,1.81,0.806946182728,0.000879304466417,0.00361010830325,-0.0511945392491,5866000.0,0.0,2.6484,30.0542,27.7999992371,27.4058,0.148844297334,-0.0893,-0.3058,-0.3952,-0.00321223030398,35.0582,29.1375,28.73,28.11,55.9467,8.4746,5.4732,1502222401.0
AFSS20170808,1.74,0.556633023286,8.87733953351e-05,-0.00535987748851,0.0220298977183,95051000.0,0.0,0.8956,26.0892,25.9799995422,25.1936,0.878070056092,0.0261,0.1423,0.1684,0.00100461895535,62.1554,25.325,25.6414,25.898,68.8053,79.4116,82.7205,1502222107.0
AGNCP20170808,4.78,1.58758613925,0.000182969017619,-0.000788022064618,-0.0128454651615,353814000.0,0.0,0.7414,25.8642,25.3600006104,25.1228,0.319936080863,0.0027,-0.1146,-0.1119,0.000106466874409,39.2852,25.7552,25.4935,25.368,21.9655,39.5062,40.1529,1502222401.0
AJX20170808,1.57,5.68423895647,0.0189996656413,0.00555555555556,0.0298719772404,14954000.0,0.0,0.7322,14.4076,14.4799995422,13.6754,1.09887946222,0.0488,-0.009,0.0398,0.0033701658524,66.8218,14.0167,14.0415,14.154,48.7401,47.4286,45.7436,1502222521.0
ALKS20170808,-1.29,0.825331330942,0.00466654169709,-0.0165089964756,-0.0838085363746,152037000.0,0.0,8.3506,60.5813,53.0200004578,52.2307,0.0945202090585,-0.3498,-0.9427,-1.2926,-0.00659751031648,30.6607,57.8212,56.406,53.776,17.5932,4.6926,7.7721,1502222401.0
AM20170808,1.48,0.733324911002,0.0042363873322,-0.0226257814826,-0.00665658093797,76730000.0,0.0,2.5924,35.2767,32.8300018311,32.6843,0.0562034528062,-0.1368,0.3174,0.1805,-0.00416692026714,40.1496,33.4515,33.9805,33.988,41.4068,2.3656,27.0296,1502222520.0
APHB20170808,-18.06,0.0857551977734,0.0112363773585,0.0,-0.583756345178,6625000.0,0.0,29.6854,17.4952,0.819999992847,-12.1902,0.438269317336,1.2318,0.5273,1.7591,1.50219513505,48.093,2.0585,2.6525,7.702,88.94,0.0581,34.117,1502222400.0
APPF20170808,-0.12,6.14344864159,0.0682144717473,0.0216216216216,0.121994657168,8831000.0,0.0,4.1176,36.9838,37.7999992371,32.8662,1.19822208011,0.0193,0.872,0.8913,0.000510582020887,75.1318,32.2246,34.925,35.41,56.9105,78.5714,59.5479,1502222401.0
AT20170808,-0.94,0.854202522746,0.00394868683458,0.0212765957447,0.00840336134454,94771000.0,0.0,0.125,2.4175,2.40000009537,2.2925,0.860000762939,0.0063,-0.0151,-0.0088,0.00262499989569,53.8001,2.41,2.355,2.36,28.3493,66.6667,44.4444,1502222552.0
AWGI20170808,-0.002,7.02315005838,0.00209507667457,1.0,-0.984732824427,1909238000.0,0.0,,,,,,,,,,,,,,,,,
BAC20170808,1.68,0.98044285783,0.00698186743418,-0.00200400801603,0.0336239103362,10508772000.0,0.0,1.4082,25.0041,24.8999996185,23.5959,0.926075570608,0.0599,0.1757,0.2356,0.00240562252681,60.5442,23.7463,24.3,24.758,59.7887,73.3727,85.813,1502222421.0
BASI20170808,-0.26,0.157162802157,0.00172376520042,-0.010989010989,0.0285714285714,6661000.0,0.0,0.1602,1.9041,1.79999995232,1.7439,0.350186968266,-0.0122,0.034,0.0218,-0.00677777795733,51.4222,1.712,1.824,1.798,73.4723,21.7391,19.7464,1502222223.0
BBDO20170808,0.94,0.281781886951,3.12975385338e-07,0.00307692307692,0.111363636364,4284682000.0,0.0,0.907,9.8825,9.77999973297,8.9755,0.886989782769,0.011,0.2904,0.3014,0.00112474440699,67.3756,8.666,9.429,9.71,70.4203,56.3492,50.2646,1502220989.0
BHBK20170808,0.7,0.459841877392,0.00126402483722,-0.00779220779221,0.0517621145374,23191000.0,0.0,1.8176,19.5038,19.1000003815,17.6862,0.777839118326,0.0569,0.2567,0.3136,0.00297905753212,60.4469,18.1754,18.595,19.11,80.7426,69.8413,83.4794,1502222401.0
BK20170808,3.37,0.663539441865,0.00301179552815,0.00335758254057,0.0354186717998,998514000.0,0.0,2.6734,54.5957,53.7900009155,51.9223,0.698623818182,-0.1018,0.8976,0.7958,-0.00189254505052,62.6533,50.3757,53.259,53.85,60.4496,64.2858,66.5179,1502222625.0
BMA20170808,0.69,0.449722858045,0.000291694965676,-0.00137111517367,-0.0157657657658,356314000.0,0.0,4.6396,90.4648,87.4000015259,85.8252,0.339426141452,-0.0393,-0.3938,-0.4331,-0.000449656742722,45.2696,88.9515,88.145,87.736,60.7978,38.5224,55.1259,1502222521.0
BNS.TO20170808,6.29,0.695831300505,0.00142257736815,0.00579448879732,-0.00344475631539,1193062000.0,0.0,1.3212,78.7351,78.1100006104,77.4139,0.526869974532,-0.0132,0.0216,0.0083,-0.000168992445229,51.598,77.5738,78.0745,78.058,48.5203,63.3664,63.5314,1502222400.0
