Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
CYTX,Cytori Therapeutics Inc,NGM,-0.1920,None,11.1600,0.0320,None,52.81M,1538090,1.4700,0.2800,0.3332
SFLY,Shutterfly Inc.,NMS,-0.86,None,8.17,14.71,None,1.62B,394446,49.10,35.22,46.06
HCI.TO,HARTCO INC.,TOR,-0.32,None,0.00,4.18,None,44.82M,4398,3.45,2.32,3.39
CBL.TO,CALLIDUS CAPITAL CORP,TOR,1.50,6.95,1.98,9.92,0.70,511.76M,99888,22.91,10.06,10.40
PNP.TO,PINETREE CAPITAL LTD,TOR,-0.51,None,0.00,0.13,None,10.10M,310844,0.20,0.05,0.05
SYNA,Synaptics Incorporated,NMS,2.78,31.83,5.31,19.56,None,3.21B,757363,102.50,58.22,88.53
OCLR,Oclaro Inc.,NMS,-0.37,None,12.45,1.35,None,371.03M,1157370,3.50,1.40,3.35
ARWR,Arrowhead Research Corporation,NMS,-1.61,None,9.71,2.21,None,316.54M,1850440,9.36,4.35,5.32
SBGI,Sinclair Broadcast Group Inc.,NMS,2.1720,16.1072,15.6400,5.0350,0.6600,3.31B,1167150,35.0800,24.0400,34.9848
GEOS,Geospace Technologies Corporati,NMS,-2.5110,None,13.2400,22.0280,None,148.69M,208602,31.8600,10.1900,11.3101
SLCA,U.S. Silica Holdings Inc. Comm,NYQ,1.11,17.39,7.29,7.45,0.44,1.03B,2175120,47.04,13.48,19.36
FLML,Flamel Technologies S.A.,NGM,-1.56,None,2.27,0.62,None,558.59M,305145,26.09,9.30,13.75
REXI,Resource America Inc.,NMS,-0.04,None,15.72,7.18,0.24,115.68M,46005,9.63,4.89,5.72
IMPV,Imperva Inc. Common Stock,NYQ,-1.95,None,4.01,7.24,None,2.30B,591671,75.50,38.20,73.31
EXXI,Energy XXI Ltd.,NMS,-32.27,None,5.04,-13.73,0.04,149.10M,2822240,7.62,0.90,1.57
NFLX,Netflix Inc.,NMS,0.376,329.003,2.210,5.071,None,52.87B,22296100,129.290,45.077,123.705
ADXS,Advaxis Inc.,NCM,-1.53,None,7.64,3.10,None,394.04M,1315200,30.13,2.90,11.81
MACK,Merrimack Pharmaceuticals Inc.,NGM,-1.01,None,11.14,-1.23,None,963.89M,1609370,13.84,7.21,8.34
ELOS,Syneron Medical Ltd.,NMS,-0.27,None,3.62,5.89,None,260.22M,231625,12.90,6.10,7.15
VVUS,VIVUS Inc.,NMS,-1.02,None,10.26,0.05,None,130.05M,3456510,3.46,0.94,1.25
UC.V,UC RESOURCES LTD.,VAN,-0.681,None,0.000,-0.018,None,366045.00,8659,0.030,0.005,0.015
MPC,Marathon Petroleum Corporation,NYQ,6.32,8.86,2.92,22.99,1.28,29.81B,5120140,60.38,37.62,55.94
BDSI,BioDelivery Sciences Internatio,NCM,-1.26,None,5.96,0.37,None,307.56M,1767560,15.95,4.66,5.84
JAZZ,Jazz Pharmaceuticals plc,NMS,5.02,28.73,2.62,25.42,None,8.87B,779426,194.73,117.26,144.30
ARRS,ARRIS Group Inc.,NMS,1.714,17.745,10.840,11.877,None,4.46B,1374890,37.500,24.460,30.415
KEM,Kemet Corporation New Common St,NYQ,-1.03,None,12.09,2.85,None,130.46M,189118,4.62,1.48,2.85
CBL,CBL & Associates Properties In,NYQ,0.92,14.69,3.05,7.99,1.06,2.31B,1669950,21.36,13.04,13.54
SKX,Skechers U.S.A. Inc. Common St,NYQ,1.45,20.06,1.27,8.41,None,4.53B,4564850,54.53,17.96,29.02
CVA,Covanta Holding Corporation Com,NYQ,-0.11,None,7.40,4.74,1.00,2.08B,1008120,25.35,14.90,15.72
WBS,Webster Financial Corporation C,NYQ,2.13,18.11,4.22,24.87,0.92,3.54B,765862,41.34,29.02,38.58
UEPS,Net 1 UEPS Technologies Inc.,NMS,2.00,7.75,0.57,9.89,None,724.36M,375011,21.48,10.39,15.50
BBRY,BlackBerry Limited,NMS,-0.504,None,13.330,6.747,None,4.07B,6929770,12.630,5.960,7.765
DAN,Dana Holding Corporation Common,NYQ,2.13,7.33,2.88,6.17,0.24,2.39B,2151500,23.48,14.76,15.60
KTEC,Key Technology Inc.,NGM,-0.80,None,1.93,9.87,None,66.79M,4414,13.41,10.20,10.51
PPS,Post Properties Inc. Common St,NYQ,1.38,42.56,2.29,23.07,1.76,3.18B,517214,63.78,53.18,58.69
