,MFI,timestamp
KING,48.927,1434398340
BLRX,41.149,1434398340
WYNN,50.568,1434398340
RKUS,56.008,1434398340
GRPN,40.553,1434398340
ENTA,56.344,1434398340
PATK,66.731,1434398340
PRSS,43.479,1434398340
ROYT,,1434398340
RCKY,53.91,1434398340
PFNX,45.916,1434398340
GRUB,49.264,1434398340
NBU.V,,1434398340
DXR,,1434398340
FET,47.568,1434398340
FNSR,48.583,1434398340
ONVI,,1434398340
TSO,47.34,1434398340
SHAK,44.643,1434398340
EMITF,,1434398340
MDRX,47.04,1434398340
FOSL,50.361,1434398340
IDRA,49.616,1434398340
CKR.V,,1434398340
ATW,55.855,1434398340
VGGL,59.722,1434398340
OSHC,,1434398340
NBR,56.348,1434398340
EPRS,55.939,1434398340
TSLA,52.549,1434398340
ACHN,58.053,1434398340
ADMS,49.704,1434398340
CERE,57.059,1434398340
CYTX,43.5232,1434398340
SFLY,38.698,1434398340
HCI.TO,,1434398340
CBL.TO,37.768,1434398340
PNP.TO,,1434398340
SYNA,53.197,1434398340
OCLR,54.331,1434398340
ARWR,45.762,1434398340
SBGI,54.663,1434398340
GEOS,56.44,1434398340
SLCA,58.619,1434398340
FLML,36.946,1434398340
REXI,56.391,1434398340
IMPV,61.2,1434398340
EXXI,54.847,1434398340
NFLX,53.668,1434398340
ADXS,62.107,1434398340
MACK,41.034,1434398340
ELOS,47.65,1434398340
VVUS,47.555,1434398340
ANTH,53.352,1434398340
FCX,49.931,1434398340
TRIP,50.362,1434398340
NKO.TO,,1434398340
PVA,50.534,1434398340
DEPO,41.828,1434398340
WBC,36.567,1434398340
ASPS,50.903,1434398340
MNGA,48.808,1434398340
TTI,45.346,1434398340
MRC,51.106,1434398340
EHIC,48.543,1434398340
ARII,50.959,1434398340
XGTI,46.658,1434398340
GTT,73.272,1434398340
BCC,45.68,1434398340
BSX,40.841,1434398340
RDCM,37.601,1434398340
CJES,46.678,1434398340
PERY,47.59,1434398340
YUME,61.381,1434398340
LAKE,59.15,1434398340
CRK,48.635,1434398340
AMDA,45.749,1434398340
CSIQ,56.628,1434398340
REXX,46.403,1434398340
FRGI,51.079,1434398340
HART,66.741,1434398340
PLPM,65.09,1434398340
JACK,50.006,1434398340
STXS,10.931,1434398340
ARIA,60.31,1434398340
KND,50.443,1434398340
TTS,51.358,1434398340
HABT,53.066,1434398340
PDCE,57.487,1434398340
DHT,54.782,1434398340
MW,47.937,1434398340
LOCO,56.262,1434398340
CRZO,45.574,1434398340
XEC,63.513,1434398340
WVFC,69.154,1434398340
ADES,,1434398340
HT,72.685,1434398340
CRH.TO,,1434398340
NOV,58.365,1434398340
TREE,58.648,1434398340
OII,52.602,1434398340
JRJC,49.993,1434398340
TEX,45.324,1434398340
HASI,49.098,1434398340
ZOES,52.44,1434398340
ACQ.TO,48.184,1434398340
OVAS,54.118,1434398340
GHL,51.524,1434398340
MHR,33.267,1434398340
RKN.TO,42.484,1434398340
NILE,40.267,1434398340
EXPE,49.48,1434398340
ELNK,61.141,1434398340
HEES,51.427,1434398340
ZGNX,58.977,1434398340
SAIA,53.425,1434398340
CAM,54.545,1434398340
SWHC,61.564,1434398340
JOR.V,,1434398340
XOMA,59.666,1434398340
POWI,59.679,1434398340
KYTH,59.968,1434398340
MXC,40.675,1434398340
SPLK,57.469,1434398340
TAXI,60.023,1434398340
CRNT,52.116,1434398340
ANIK,68.298,1434398340
NBHC,53.439,1434398340
PRCP,46.556,1434398340
DENN,47.056,1434398340
XRM,79.307,1434398340
SD,56.894,1434398340
RGEN,51.578,1434398340
CCRN,49.472,1434398340
EXP,45.529,1434398340
RDC,48.117,1434398340
VIPS,48.314,1434398340
WEX,55.534,1434398340
AEO,49.648,1434398340
PODD,52.529,1434398340
SRPT,55.191,1434398340
FRP,55.405,1434398340
COH,45.81,1434398340
UFPI,48.912,1434398340
OA,53.342,1434398340
FITB,44.932,1434398340
RPR.V,,1434398340
FNHC,61.498,1434398340
EPZM,50.899,1434398340
CBZ,41.34,1434398340
ADSK,47.241,1434398340
DISCA,48.725,1434398340
RRD,49.018,1434398340
CHDN,50.7,1434398340
KS,49.776,1434398340
THLD,47.776,1434398340
CHUY,70.296,1434398340
QUIK,43.063,1434398340
CLVS,52.535,1434398340
ADI,55.128,1434398340
BDI.TO,43.408,1434398340
KITE,53.599,1434398340
LDRH,36.893,1434398340
MTSN,42.528,1434398340
KEL.TO,50.606,1434398340
OXGN,14.928,1434398340
BPC.V,,1434398340
LPI,51.041,1434398340
LTRPA,52.149,1434398340
AAVL,53.429,1434398340
EXEL,47.014,1434398340
PRO,54.909,1434398340
OIS,54.771,1434398340
WDR,60.387,1434398340
HLF,56.981,1434398340
YRCW,46.876,1434398340
CREE,42.079,1434398340
IMUC,,1434398340
NSP,45.95,1434398340
HLX,48.234,1434398340
PLCE,44.717,1434398340
ARCI,,1434398340
MDCO,57.067,1434398340
CFFI,,1434398340
CTB,50.492,1434398340
IPCM,53.923,1434398340
IBKR,64.006,1434398340
ANDE,54.803,1434398340
VR,54.131,1434398340
STRA,38.608,1434398340
TRCH,61.172,1434398340
MCRL,49.783,1434398340
MAR,54.322,1434398340
EXL,19.857,1434398340
IRBT,51.523,1434398340
NBG,42.406,1434398340
CMI,46.083,1434398340
TWTR,53.455,1434398340
LXK,56.947,1434398340
CEVA,49.632,1434398340
PLOW,66.743,1434398340
ATML,60.656,1434398340
NETE,28.4684,1434398340
AXL,54.913,1434398340
IPGP,43.69,1434398340
AOI,46.04,1434398340
SWIR,60.882,1434398340
KNDI,31.654,1434398340
GST,41.982,1434398340
CPE,43.982,1434398340
JCP,55.302,1434398340
HP,54.903,1434398340
JBLU,46.242,1434398340
EBIX,50.341,1434398340
AMBR,20.515,1434398340
MXL,49.055,1434398340
CMGE,52.237,1434398340
RDN,57.014,1434398340
PTLA,53.656,1434398340
WMS,48.317,1434398340
SONC,48.807,1434398340
